stroke_sign_vs_slider,vpp_v,freq_hz,voltage_amp_v,right_stroke_amp_rad,left_stroke_amp_rad,right_stroke_amp_deg,right_stroke_offset_deg,stroke_gain_deg_per_v,stroke_phase_deg,right_slider_amp_m,slider_phase_deg,transmission_ratio_rad_per_m,stroke_residual_ratio,measure_rows
-1.0,50.0,40.0,25.0,0.12660319021810787,0.12657511354540193,7.253828472389529,-0.039965084259014336,0.29015313889558114,1.3111547308059244,5.139091304485944e-05,1.3503267567261616,2463.5326114481595,0.0744746627943043,1000
-1.0,50.0,45.0,25.000000000000004,0.12979471156144903,0.12979270954938366,7.436689175588901,-0.04548339771375262,0.297467567023556,0.608117299330047,5.2567693106566004e-05,0.6635534195428363,2469.0965855839872,0.07285577668088454,1001
-1.0,50.0,50.0,24.999999999999993,0.13327822644250814,0.13325652160147322,7.636279876144605,-0.051244157226457136,0.3054511950457843,-0.30087818395864474,5.3895825461368745e-05,-0.21909144955384363,2472.885892396969,0.08291474895055977,1000
-1.0,50.0,55.0,24.99999999999999,0.13743829594227022,0.13738681459813734,7.874634300962072,-0.05667428973219823,0.314985372038483,-1.3018651938967594,5.5506928571193976e-05,-1.217123803410118,2476.056583926994,0.08226306374825462,1000
-1.0,50.0,60.0,25.0,0.14212490620796675,0.1419459283522473,8.143157289409167,-0.06693302643738021,0.3257262915763667,-2.529822020697793,5.734619539902914e-05,-2.4312194214754754,2478.3667899679513,0.0819575236565728,1000
-1.0,50.0,65.0,25.0,0.14760365461704208,0.14760997964240885,8.457066450263198,-0.079998474627104,0.3382826580105279,-3.8375929280410617,5.951526325698843e-05,-3.7293459283943093,2480.0974832235174,0.07067608272308412,1001
-1.0,50.0,70.0,25.000000000000007,0.15352827579453046,0.15346509498376024,8.79652223894711,-0.09173639352549612,0.3518608895578843,-5.583302963992793,6.187527689877973e-05,-5.467137519247842,2481.253959407465,0.07235186398067073,1001
-1.0,50.0,75.0,25.00000000000001,0.1600352820310661,0.1599646452218657,9.169346233565909,-0.12958970232338765,0.3667738493426362,-7.774239681781523,6.447047230060444e-05,-7.651446351476864,2482.3035464185004,0.0731019528232117,1000
-1.0,50.0,80.0,25.0,0.16760571925151363,0.16763028210911607,9.603100335366301,-0.12622077789207764,0.3841240134146521,-10.254891811188031,6.750012583975775e-05,-10.130326577502842,2483.043063495941,0.06805425890991161,1000
-1.0,50.0,85.0,25.000000000000004,0.1765954957981398,0.17653132621950668,10.118176590253674,-0.1419923812509342,0.4047270636101469,-13.085689210336398,7.109875737576558e-05,-12.963614362481593,2483.805657317063,0.05732061529947906,1001
-1.0,50.0,90.0,25.000000000000004,0.18570999591986787,0.1855903479640969,10.640398979600167,-0.16349567166694168,0.42561595918400663,-16.70875299417642,7.474524010162877e-05,-16.584097454555547,2484.572872698834,0.053620680769497366,1001
-1.0,50.0,95.0,24.999999999999993,0.1941313325997541,0.19413554867684987,11.122906029216361,-0.18615749174748494,0.4449162411686546,-21.203876706205392,7.811307934355793e-05,-21.076494638847976,2485.2602692299865,0.058346920326449524,1001
-1.0,50.0,100.0,24.999999999999993,0.20310713311176684,0.20303981731111495,11.637181516306056,-0.21240345614416828,0.4654872606522424,-26.417609724111173,8.170422580487144e-05,-26.284749575752556,2485.8828427899625,0.05253784291612104,1000
