stroke_sign_vs_slider,vpp_v,freq_hz,voltage_amp_v,right_stroke_amp_rad,left_stroke_amp_rad,right_stroke_amp_deg,right_stroke_offset_deg,stroke_gain_deg_per_v,stroke_phase_deg,right_slider_amp_m,slider_phase_deg,transmission_ratio_rad_per_m,stroke_residual_ratio,measure_rows
-1.0,50.0,40.0,25.0,0.07488948768551504,0.07492527697052082,4.290851574276964,0.004769971814448235,0.17163406297107855,2.4912434520713305,3.1218151865802416e-05,2.3300367157520725,2398.908430180068,0.14177824232377542,1000
-1.0,50.0,45.0,25.000000000000004,0.07626190480546327,0.07624993463922455,4.369485282981497,0.003608189384367511,0.17477941131925986,2.1259685509000406,3.154740507767703e-05,2.0187772718537644,2417.3748876552213,0.1363276127681643,1001
-1.0,50.0,50.0,24.999999999999993,0.07764642955525151,0.07757135351187822,4.44881270777577,0.006956131243188806,0.17795250831103085,1.7342707629527752,3.1946303140126196e-05,1.670114064904567,2430.52941727469,0.15529725992704,1000
-1.0,50.0,55.0,24.99999999999999,0.07917211867075198,0.07913246589433649,4.536228254942994,0.007066882324298254,0.18144913019771985,1.2873131233323818,3.243939409557265e-05,1.2491425269101057,2440.6164442373924,0.15768849990632905,1000
-1.0,50.0,60.0,25.0,0.08081002442209503,0.0808258248561548,4.630073341735155,0.0027695772304973843,0.1852029336694062,0.6987335740292053,3.30078920035339e-05,0.6835090962732409,2448.203127101947,0.15756542645581464,1000
-1.0,50.0,65.0,25.0,0.08276199647911435,0.08276712170535294,4.741913102329831,0.004547823144405079,0.18967652409319324,0.3351629750559084,3.372182081066499e-05,0.3327877465712561,2454.2564573778805,0.13385646594645248,1001
-1.0,50.0,70.0,25.000000000000007,0.08483701695597803,0.08479329940534705,4.860803018057344,0.0037136352474616686,0.1944321207222937,-0.3378122994832893,3.4500712414462856e-05,-0.3256101328090608,2458.9931922801097,0.13995357170951983,1001
-1.0,50.0,75.0,25.00000000000001,0.08703187015637145,0.08706407734119673,4.986558843090668,0.005229547688364408,0.19946235372362664,-1.1822042765257663,3.533910195242025e-05,-1.1551686606108547,2462.764058734406,0.14376007267737298,1000
-1.0,50.0,80.0,25.0,0.08960044490207364,0.0895864070639755,5.133727335383292,0.00028877211091352827,0.2053490934153317,-1.9282886842787548,3.6334789566168734e-05,-1.8938851642332963,2465.9684553533366,0.1372632614113102,1000
-1.0,50.0,85.0,25.000000000000004,0.09261836587702224,0.09263391192037727,5.306641470151853,9.587704741445722e-05,0.2122656588060741,-2.619591327189255,3.751783240131567e-05,-2.579602085779186,2468.649171580987,0.11672839309183937,1001
